Thématique,Niveau,Acronyme,Secret,Nom complet,Création,Description,Description plus simple,PRINCIPAUX LIENS avec,
RENSEIGNEMENT,National,GESTEREXT,OUI,Gestion du terrorisme et des extrémismes à potentialité violente,2008,"Fichier clandestin jusqu'en 2017. Cousin des fichiers du renseignement territorial, de la police (PASP) et de la gendarmerie (Gipasp). ","Cousin des fichiers du renseignement territorial, de la police (PASP) et de la gendarmerie (Gipasp). ","LIEN2: PASP-EASP, GIPASP, FPR, CGEEDRT, FSPRT",
RENSEIGNEMENT,National,GIPASP,non,[Gestion de l’information et prévention des atteintes à la sécurité publique],2009,Version gendarmerie du PASP. Équipé d'un module de reconnaissance faciale. 13 000 inscrits (2015).  ,Version gendarmerie du PASP. 13 000 inscrits (2015).  ,Placer à côté de PASP = mêmes liens,Équipé d'un module de reconnaissance faciale
RENSEIGNEMENT,National,PASP,non,[Prévention des atteintes à la sécurité publique],2009,"Fichier du renseignement de la police nationale. Peut recenser les opinions (politiques, syndicales, religieuses) des personnes et de leur « entourage». À partir de 13 ans. Équipé d'un module de reconnaissance faciale. 68 000 inscrits (2016).","Fichier du renseignement de la police nationale. Peut recenser les opinions (politiques, syndicales, religieuses) des personnes et de leur entourage, dès 13 ans. 68 000 inscrits (2016).","LIEN1: GIPASP; EASP; RENS. Min INTER
LIEN2: FPR; FSPRT (terro); GESTEREXT; CGEEDRT (rg), Cristina (DGSI); ",Équipé d'un module de reconnaissance faciale
RENSEIGNEMENT,National,SIREX-DRSD,OUI,Fichier de la Direction du renseignement et de la sécurité de la défense,2014,Outil de « contre-ingérence » (sic) destiné à la protection des militaires et des installations militaires.,Destiné à la protection des militaires et des installations militaires.,Lien unique: Min. ARMEES,
RENSEIGNEMENT,National,STARTRAC,OUI,Système de traitement et analyse du renseignement de Tracfin,2011,"Détection de transferts financiers occultes (terrorisme, crime organisé).","Détection de transferts financiers occultes (terrorisme, crime organisé).",Lien: Min. FINANCES,
RENSEIGNEMENT,National,CAR,OUI,Prévention des atteintes à la sécurité pénitentiaire,2015,Fichier de la division renseignement de l’administration pénitienciaire.,,LIEN2: ASTREE; PASP; GESTEREXT; CGEEDRT; CRISTINA; FSPRT...,
SANTÉ,National,DMIMT,,[Dossier médical informatisé de médecine du travail],,Géré par les directions régionales de l’emploi et alimenté par les médecins du travail. Accès possible à la plate-forme Mon espace santé (ex-DMP) après accord de l'intéressé. ,Alimenté par les médecins du travail.,"LIEN1: RNIAM
LIEN2: MES (ex-DMP)",
SANTÉ,National,DP,,[Dossier pharmaceutique],,Comprend la liste des médicaments délivrés et la mutuelle de prise en charge.,Médicaments délivrés et mutuelle de prise en charge.,"LIEN1: RNIAM;
LIEN2: Mutuelles",
SANTÉ,National,HDH ,,(Health Data Hub),2021,Consortium public-privé autorisé à utiliser les données anonymes du SNDS. ,Consortium public-privé autorisé à utiliser les données anonymes du SNDS. ,LIEN1: SNDS,
SANTÉ,National,HOPSY,,Hospitalisations d'office (sans consentement) pour raisons psychiatriques,1994,"D'abord géré par les préfets pour le ministère de l’intérieur. Depuis 2018, la base est centralisée (Hopsyweb), les données conservées trois ans au lieu d'un. ",Données conservées trois ans. ,"LIEN1: RNIPP; PMSI; FSPRT (terro); 
LIEN2: Rens. INTER (PASP-GIPASP)",
SANTÉ,National,MES,,Mon espace santé,2022,"Ex-DMP (dossier médical partagé). Utilise un numéro unique dédié, pas encore le NIR.","Dossier médical personnel. Utilise un numéro unique dédié, pas encore le NIR.","LIEN1: RNIAM; PMSI; 
LIEN2: RIM-P (psy), Mutuelles",
SANTÉ,Local,Mutuelles,,,,Assurances santé complémentaires (mutualistes et privées). ,Assurances santé complémentaires. ,"LIEN1: RNIAM; DP, MES
",
SANTÉ,Régional,PMSI,,[Programme de médicalisation des systèmes d’information],1996,Base de dossiers personnels issus de tous les établissements de santé. Tutelle : ARH (agences régionales d’hospitalisation). Relié aux fichiers des SAMU (urgences hospitalières).,Dossiers personnels issus de tous les établissements de santé. Tutelle : ARH (agences régionales d’hospitalisation). Relié aux fichiers des SAMU (urgences hospitalières).,LIEN1: RNIAM; MES,
SANTÉ,National,RIM-P,,[Recueil d’information médicalisé en psychiatrie],2006,Patients suivis en psychiatrie. Parallèle aux fichiers hospitaliers (PMSI). Remontées anonymes aux ARS. 424 000 patients (2018). ,Patients suivis en psychiatrie. Remontées anonymes aux ARS. 424 000 patients (2018). ,"LIEN1: RNIPP; PMSI; 
LIEN2: MES (ex-DMP) ",
SANTÉ,Répertoire national,RNIAM,,[Répertoire national inter-régimes de l’assurance-maladie],1996,"Allocataires de l’assurance-maladie. Permet la délivrance de la carte Vitale. 71,3 millions d'inscrits (2020), dont les expatriés. ","71,3 millions de possesseurs de carte Vitale (2020), dont les expatriés. ",LIEN1: RNIPP; PMSI;,
SANTÉ,REGIONAL,SIVIC / SINUS,,Système d'information de suivi des victimes,2016,"Suivi des patients pris en charge en urgence (SAMU, hopitaux) lors « d'attentats ou de situations sanitaires exceptionnelles ». Géré par le ministère de la santé, Sivic utilise l'identifiant du fichier central des victimes Sinus (plans Orsec), géré par le ministère de l'intérieur.","Patients pris en charge en urgence (SAMU, hopitaux) lors « d'attentats ou de situations sanitaires exceptionnelles ». Géré par le ministère de la santé, Sivic utilise l'identifiant du fichier central des victimes Sinus (plans Orsec), géré par le ministère de l'intérieur.","LIEN1: PMSI; Min SANTE
LIEN2: Min Inter",
SANTÉ,National,SNDS,,[Système national des données de santé],2016,Base « anonyme » d'actes médicaux destinée à la recherche. Géré par la CNAM et mis à disposition du Health Data Hub (2021).,Base « anonyme » d'actes médicaux destinée à la recherche. Géré par la CNAM et mis à disposition du Health Data Hub (2021).,"LIEN1: Min SANTE (CNAM)
HDH",
SOCIAL,National,CRISTAL,,[Conception relationnelle intégrée du système de traitement des allocations],1996,"Fichier central de la CAF. Des dizaines d’organismes y ont accès (Pôle emploi, services sociaux, offices HLM, transports publics…).","Fichier central de la CAF. Des dizaines d’organismes y ont accès (Pôle emploi, services sociaux, offices HLM, transports publics…).","LIEN1: RNCPS; SDAS; SIAO; RSA; 
LIEN2: Pole emploi (DUDE), SNE-DLS (Logement social)",
SOCIAL,Répertoire national,RNCPS,,[Répertoire national commun de la protection sociale],2007,Bénéficiaires de prestations sociales. Utilise le NIR. Alimenté par une centaine et consultable par un millier d'organismes sociaux (types et montants des allocations versées à chaque individu).,Bénéficiaires de prestations sociales (types et montants des allocations versées). Utilise le NIR.,"LIEN1: Cristal; SIAO; RSA
LIEN2: RNIPP; ADGREF",
SOCIAL,National,RSA,,Allocataires du Revenu de solidarité active,2009,Fichier centralisé du RSA. Partie « orientation » gérée dans les départements ou les communes. Partie « prestation » dans un fichier national.,"Partie « orientation » gérée dans les départements ou les communes, partie « prestation » dans un fichier national.",LIEN1: Cristal; SDAS; RSA; Dude (Pole emploi); ,    
SOCIAL,Local,SDAS / CCAS,,[Service départemental et centre communal d’action sociale],-,"L'aide sociale dépend des départements (SDAS), mais certaines communes en ont la charge (CCAS). Chaque centre accède à la base locale avec des progiciels d'accès d'éditeurs privés (Iodas, Cortexte, Vitality, etc.). ",Aide sociale dépendant des départements (SDAS) ou de certaines communes (CCAS). ,LIEN1: RNCPS; Cristal; SIAO; RSA,
TRANSPORTS,National,API-PNR,,Advance Passenger Information - Passenger Name Record,2013,"Fichier des passagers aériens passant sur le sol français. PNR : réservations ; API : embarquements. Env. 100 millions de voyageurs par an. Un décret de 2019 devait l'élargir à tous les voyageurs en train, bus, navires. ",Passagers aériens passant sur le sol français. PNR : réservations ; API : embarquements. Env. 100 millions de voyageurs par an.,"LIEN1: FPR; N-SIS-2; FOVES
LIEN2: Rens. INTER + ARMEES, DNRED (douanes)",
TRANSPORTS,National,FNPC,,[Fichier national des permis de conduire],1972,"Consultable par une foule d'administrations ou d'entreprises (assurances, transports publics). ","Consultable par une foule d'administrations ou d'entreprises (assurances, transports publics). ","LIEN1: TAJ; ADOC (contraventions)
LIEN2: Rens. INTER, ARMEES, DOUANES",
TRANSPORTS,National,FOVES,,[Fichier des objets et des véhicules signalés],2014,"Fichier central alimenté par les enquêtes de police, gendarmerie, renseignement.","Alimenté par les enquêtes de police, gendarmerie, renseignement.","LIEN1: STC-LAPI; ACCRED;
LIEN2: PASP-EASP; GIPASP",
TRANSPORTS,National,SCA,,[Système de contrôle automatisé],2004,Fichiers des radars routiers (relié aussi aux fichiers des locations de voitures).,Radars routiers (relié aux fichiers des locations de véhicule).,STC-LAPI; SIV; FOVES,
TRANSPORTS,National,SIV,,[Système d’immatriculation des véhicules],2009,Fichier des nouvelles plaques d’immatriculation (unique et permanente pour chaque véhicule).,Nouvelles plaques d’immatriculation unique et permanente.,LIEN1: STC-LAPI; FOVES,
TRANSPORTS,National,STC-LAPI,,Système de lecture automatique des plaques d'immatriculation,2019,"LAPI existe depuis 2009, le service de traitement central depuis 2019.",,"LIEN1: FOVES (véhicules volés); N-SIS-2
LIEN2: SCA (radars); SIV; ",
